Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
0,0.0,0.0,0.0,이디야 돌곶이역점,2023-03-24,영업/정상,,서울특별시 성북구 석관동 246-10,"서울특별시 성북구 돌곶이로22길 3, 1층 (석관동)",205060.731432101,456432.184537298,52.9,중저가,37.61020752429728,127.05521293669705,0.1095290887591824,2.0,1.0,0.0,36.16666666666666,3542681.0
1,1.0,1.0,1.0,이디야 고척스카이돔점,2018-01-15,영업/정상,,서울특별시 구로구 고척동 76-160 골든타워빌딩 별관 지상1층 101호,"서울특별시 구로구 경인로 397, 골든타워빌딩 별관동 지상1층 101호 (고척동)",187888.272226034,443955.614464686,101.12,중저가,37.497728143347736,126.86093276883304,1.70306778687455,1.0,0.0,1.0,47.12222222222224,224948.0
2,2.0,2.0,2.0,이디야커피방화역점,2013-03-08,폐업,2023-02-28,서울특별시 강서구 방화동 830 오피앙(지상 1층) 115~116호,"서울특별시 강서구 금낭화로 146, 오피앙 1층 115~116호 (방화동)",183438.673656262,452893.622300597,53.16,중저가,37.57818916210502,126.8104123017116,0.2241333406984268,2.0,0.0,0.0,28.6,215245.0
3,3.0,3.0,3.0,이디야커피(경복궁역점),2013-04-29,폐업,2023-03-02,서울특별시 종로구 체부동 51,"서울특별시 종로구 자하문로 7, 1층 (체부동)",197475.456683105,452713.481753987,50.4,중저가,37.57671251830878,126.9693187794436,0.3586047581157144,0.0,1.0,3.0,82.53333333333333,494058.0
4,4.0,4.0,4.0,이디야커피 구의자양로점,2020-09-02,영업/정상,,서울특별시 광진구 구의동 78-8,"서울특별시 광진구 자양로 251, 1층 (구의동)",207820.941622506,449642.287663473,112.2,중저가,37.54901241171083,127.08640192713246,0.4755133559567939,1.0,0.0,1.0,31.988888888888887,3195580.0
5,5.0,5.0,5.0,이디야커피 길동사거리점,20180720,영업/정상,,서울특별시 강동구 성내동 378-2번지 ,"서울특별시 강동구 천호대로 1132, 1층 101~103호 (성내동)",212035.001621141,447985.957150755,80.0,중저가,37.534043966469966,127.13406227131767,0.169901777101799,1.0,1.0,5.0,55.45555555555556,10118285.0
6,6.0,6.0,6.0,이디야,2013-12-05,폐업,2024-01-04,서울특별시 강동구 강일동 675-3 강일임페리얼타워 106호,"서울특별시 강동구 아리수로93길 19 (강일동, 강일임페리얼타워 106호)",215313.230134197,451469.210879017,29.05,중저가,37.56537927550482,127.1712243790546,0.9641581200482168,2.0,1.0,0.0,55.45555555555556,248692.0
7,7.0,7.0,7.0,이디야 경희궁점,2023-04-27,영업/정상,,서울특별시 종로구 신문로2가 1-117 1층,"서울특별시 종로구 경희궁1길 16, 1층 (신문로2가)",197342.144874709,452153.568549483,87.0,중저가,37.57166738760522,126.96781170729034,0.616637876294282,2.0,0.0,2.0,82.53333333333333,2438521.0
8,8.0,8.0,8.0,이디야커피구의동점,2015-02-05,폐업,2023-03-13,서울특별시 광진구 구의동 200-20,"서울특별시 광진구 아차산로 481, 1층 (구의동)",208324.939444793,448746.466638461,97.02,중저가,37.54093677083593,127.09209521882944,0.4180315142773738,2.0,0.0,2.0,46.53333333333333,4434046.0
9,9.0,9.0,9.0,이디야커피(강서가양동점),2019-10-18,폐업,2023-04-03,서울특별시 강서구 가양동 192-9 한림타운 102호,"서울특별시 강서구 강서로 511, 1층 102호 (가양동, 한림타운)",185917.670740756,452084.848958002,79.3,중저가,37.570943652629325,126.83849172519707,0.7588214331939572,2.0,0.0,0.0,28.6,1339129.0
10,10.0,10.0,10.0,이디야커피(답십리역점),2013-02-27,폐업,2023-04-28,서울특별시 동대문구 답십리동 496-1 1층,"서울특별시 동대문구 천호대로 265, 1층 (답십리동)",204468.998618777,451783.297252042,125.83,중저가,37.56832478368156,127.04848330449668,0.3707818054177201,1.0,0.0,1.0,47.67777777777778,2396402.0
11,11.0,11.0,11.0,이디야(EDIYA)신사멀버리힐스점,2023-03-15,영업/정상,,서울특별시 서초구 잠원동 27-2 1층 E104호,"서울특별시 서초구 강남대로 589, 멀버리힐스 E104호 (잠원동)",201623.318081585,445795.867294055,36.96,중저가,37.51438770452344,127.01625979728044,0.6273336237989546,1.0,0.0,7.0,64.44444444444444,512675.0
12,12.0,12.0,12.0,이디야커피(삼양시장점),2013-08-22,폐업,2023-04-06,서울특별시 강북구 미아동 760-126,서울특별시 강북구 삼양로 234 (미아동),201584.562239173,457984.365944,54.78,중저가,37.62420468770005,127.01584668785172,0.9385758859052116,1.0,0.0,0.0,36.55555555555556,845014.0
13,13.0,13.0,13.0,이디야 (마천사거리점),2014-10-30,폐업,2023-05-01,서울특별시 송파구 거여동 133-77 지상1층,"서울특별시 송파구 마천로 264, 지상1층 (거여동)",212852.620762184,443990.574678948,80.0,중저가,37.49803486165238,127.14324331539386,0.4345873539185726,2.0,0.0,1.0,30.91111111111111,8410570.0
14,14.0,14.0,14.0,이디야 커피 서광교회점,2012-05-16,영업/정상,,서울특별시 은평구 갈현동 1-29 1층,"서울특별시 은평구 통일로 951, 1층 (갈현동)",192788.982045587,458383.256731492,251.3,중저가,37.6277710830994,126.9162094286581,0.3582516171291572,0.0,0.0,0.0,42.04444444444444,2283903.0
15,15.0,15.0,15.0,이디야커피 당곡사거리,2013-11-25,폐업,2023-04-07,서울특별시 관악구 봉천동 970-22,"서울특별시 관악구 봉천로 245, 1층 (봉천동)",193654.447995374,443013.429722508,102.77,중저가,37.4892970705506,126.92614784338936,0.6045126394197337,2.0,0.0,0.0,60.3111111111111,16857941.0
16,16.0,16.0,16.0,이디야커피묵동점,2012-07-16,폐업,2023-05-02,"서울특별시 중랑구 묵동 170-1 묵동자이2단지 1-114,1-115","서울특별시 중랑구 동일로 932, 1-114,1-115호 (묵동, 묵동자이2단지)",206777.731391054,456837.219624564,114.6,중저가,37.61384588748609,127.07466258151506,0.4270965183266133,3.0,1.0,3.0,46.333333333333336,8936797.0
17,17.0,17.0,17.0,이디야커피(국민대점),2014-07-29,폐업,2023-03-20,서울특별시 성북구 정릉동 847-3,서울특별시 성북구 정릉로9라길 8 (정릉동),199965.28221496,456536.160168447,50.4,중저가,37.61115788423408,126.99750423323212,2.321749177750366,0.0,0.0,0.0,66.93333333333334,926097.0
18,18.0,18.0,18.0,이디야 논현학동점,2019-06-26,영업/정상,,서울특별시 강남구 논현동 39-20,"서울특별시 강남구 논현로131길 28, 지상1층 (논현동)",202413.749980215,445761.483091564,99.0,중저가,37.51407623110683,127.02520029424473,0.5803518404750053,0.0,0.0,0.0,64.44444444444444,839475.0
19,19.0,19.0,19.0,이디야 양원남부점,2019-08-08,폐업,2023-05-03,서울특별시 중랑구 망우동 233-28,"서울특별시 중랑구 양원역로 25-10, 1층 (망우동)",209417.812611365,455648.198276927,69.3,중저가,37.60310998399902,127.10454913818128,1.069314259798483,1.0,0.0,0.0,46.333333333333336,3519634.0
20,20.0,20.0,20.0,이디야 명동거리점,2023-06-05,영업/정상,,서울특별시 중구 충무로2가 66-9,"서울특별시 중구 명동8가길 7, 1층 (충무로2가)",198640.659565485,451053.379935307,149.87,중저가,37.56175773681231,126.98251263495138,0.3018610482554197,2.0,2.0,29.0,138.7,6915272.0
21,21.0,21.0,21.0,이디야 강서교차로점,2023-03-23,영업/정상,,서울특별시 강서구 등촌동 654-44 주신기업(주),"서울특별시 강서구 공항대로 437, 주신기업(주) 1층 101호 (등촌동)",187198.392326063,450314.997261936,59.0,중저가,37.555016307890654,126.85301995128992,1.5993334049587418,2.0,2.0,1.0,28.6,267190.0
22,22.0,22.0,22.0,이디야 CBS점,2012-12-13,폐업,2023-03-23,서울특별시 양천구 목동 917-1 CBS빌딩 1층,"서울특별시 양천구 목동서로 159-1, 1층 (목동, CBS빌딩)",188871.512837973,447348.13213342,49.59,중저가,37.52830697735907,126.8720001166052,0.4406928487263145,3.0,2.0,8.0,34.88888888888889,7750066.0
23,23.0,23.0,23.0,이디야강서사거리점,2011-05-04,폐업,2023-03-23,서울특별시 강서구 등촌동 654-44 (지상 1층),"서울특별시 강서구 공항대로 437, 1층 (등촌동, 1동)",187198.392326063,450314.997261936,76.04,중저가,37.555016307890654,126.85301995128992,1.5993334049587418,2.0,2.0,1.0,28.6,267190.0
24,24.0,24.0,24.0,이디야커피(공릉중앙점),2015-06-24,폐업,2023-06-05,"서울특별시 노원구 공릉동 238-48 1층. 7,8호","서울특별시 노원구 공릉로 146 (공릉동, 1층. 7,8호)",206953.775564133,457856.976031993,59.5,중저가,37.62303238458106,127.07666607280824,0.453004739516082,2.0,0.0,0.0,46.333333333333336,2760815.0
25,25.0,25.0,25.0,이디야커피 화곡중앙점,2017-03-07,폐업,2023-05-04,서울특별시 강서구 화곡동 24-154 (지상 1층),"서울특별시 강서구 까치산로 79, 1층 (화곡동, 본동)",186442.432351835,449289.842069874,50.0,중저가,37.54576892598222,126.84448366936414,0.6000437348808823,1.0,0.0,1.0,28.6,3096372.0
26,26.0,26.0,26.0,이디야,2023-04-17,영업/정상,,서울특별시 영등포구 영등포동6가 49-1,"서울특별시 영등포구 영등포로35가길 1, 지하1층 (영등포동6가)",191465.132086637,446630.643919677,56.1,중저가,37.52187026783104,126.90135044176746,0.3840011165714169,4.0,2.0,3.0,34.24444444444445,5611151.0
27,27.0,27.0,27.0,이디야 면목역점,2019-10-07,영업/정상,,서울특별시 중랑구 면목동 126-1 킴스아파트,"서울특별시 중랑구 면목로 429, 1층 상가 102호 (면목동, 킴스아파트)",207588.610230048,454214.379263011,79.0,중저가,37.5902082912917,127.08381970765046,0.3304282588164039,2.0,0.0,1.0,46.333333333333336,5335121.0
28,28.0,28.0,28.0,이디야카페(정릉아리랑점),2014-09-05,폐업,2023-05-11,서울특별시 성북구 정릉동 1035-6 대림아파트상가 105호,"서울특별시 성북구 북악산로 851, 105호 (정릉동, 대림아파트상가 )",201604.627294689,455202.849795642,63.0,중저가,37.59914370704831,127.01606812566472,0.5814903498831416,1.0,0.0,0.0,52.366666666666674,7431091.0
29,29.0,29.0,29.0,이디야커피전문점,2013-08-23,영업/정상,,서울특별시 성북구 정릉동 161-17 1층,"서울특별시 성북구 정릉로 251 (정릉동, 161-17 1층)",200986.983582781,455821.617180441,109.1,중저가,37.604719522561496,127.00907479526528,1.1155475222997175,1.0,0.0,0.0,52.366666666666674,3781489.0
30,30.0,30.0,30.0,이디야 서울과기대점,2007-04-23,폐업,2023-04-19,서울특별시 노원구 공릉동 208-18 1층10호,"서울특별시 노원구 공릉로 208 (공릉동,1층10호)",206797.151290281,458441.087966784,38.51,중저가,37.62829626829578,127.07489729243392,0.3394415244547746,2.0,2.0,0.0,46.333333333333336,411915.0
31,31.0,31.0,31.0,이디야커피 당고개역점,2013-12-30,영업/정상,,서울특별시 노원구 상계동 111-491,"서울특별시 노원구 상계로 313, 1층 (상계동)",207021.829716008,463163.405374887,57.26,중저가,37.67084149129377,127.07748748042174,0.1644342284683353,1.0,0.0,1.0,26.266666666666666,4149755.0
32,32.0,32.0,32.0,이디야커피(선덕고사거리점),20141006,영업/정상,,"서울특별시 도봉구 쌍문동 256 신원에벤에셀상가 101동 2층 209,225호","서울특별시 도봉구 해등로 255, 101동 지상2층 209,225호 (쌍문동, 신원에벤에셀상가)",202422.313606872,461665.385672458,79.9,중저가,37.657368063302656,127.02534832238771,1.2605623029467086,2.0,0.0,0.0,36.55555555555556,401025.0
33,33.0,33.0,33.0,이디야커피도봉보건소사거리점,2012-07-11,폐업,2024-07-26,서울특별시 도봉구 쌍문동 651 1층,"서울특별시 도봉구 해등로 157, 1층 (쌍문동)",203356.110282156,461599.456980604,93.36,중저가,37.65677119140434,127.03593045622614,0.860978859624315,5.0,0.0,1.0,36.55555555555556,5128767.0
34,34.0,34.0,34.0,이디야커피 신논현역점,2017-06-27,폐업,2023-04-21,서울특별시 서초구 반포동 737-16 1층,"서울특별시 서초구 강남대로79길 10, 1층 (반포동)",201982.976325002,444788.702273191,60.0,중저가,37.50531249869639,127.02032527928834,0.8204819473104725,2.0,1.0,12.0,64.44444444444444,14865818.0
35,35.0,35.0,35.0,이디야대림3동점 주식회사 앙크인베스트먼트,2012-12-04,영업/정상,,서울특별시 영등포구 대림동 688-2,"서울특별시 영등포구 대림로 212, 1층 (대림동)",190927.29229011,444157.765368221,96.0,중저가,37.49958457315658,126.8952970327547,0.4979213350623643,0.0,0.0,0.0,34.24444444444445,3363916.0
36,36.0,36.0,36.0,이디야커피 고덕강일2지구점,2023-06-15,영업/정상,,서울특별시 강동구 강일동 70-15,"서울특별시 강동구 아리수로93나길 76, 1층 106,107호 (강일동)",215466.920457331,452250.027592269,59.2,중저가,37.57241175363189,127.17298034923606,1.678666631889413,2.0,0.0,1.0,55.45555555555556,248692.0
37,37.0,37.0,37.0,이디야 고척사거리점,2018-12-03,영업/정상,,서울특별시 구로구 고척동 195-13 종만빌딩,"서울특별시 구로구 고척로 228-6, 종만빌딩 (고척동)",187399.697268421,444855.737125874,113.72,중저가,37.505831640645134,126.85539223193194,1.1804503991667208,1.0,0.0,0.0,47.12222222222224,1838697.0
38,38.0,38.0,38.0,이디야,2008-03-20,폐업,2023-12-27,서울특별시 종로구 연건동 77-2 지상1층,"서울특별시 종로구 대학로 81-1 (연건동,지상1층)",200099.736802632,452911.826843708,20.0,중저가,37.57850321913209,126.99902684901114,0.4724396522049905,2.0,0.0,4.0,50.4,1666179.0
